306,SUELA ELSA GRANDE,35,NEGRO,10
307,SUELA ELSA GRANDE,36,NEGRO,15
308,SUELA ELSA GRANDE,37,NEGRO,15
309,SUELA ELSA GRANDE,38,NEGRO,10
310,SUELA ELSA GRANDE,39,NEGRO,5
311,SUELA ELSA MEDIANA,29,CREPE,43
312,SUELA ELSA PEQUEÑA,22,CREPE,52
313,SUELA ELSA PEQUEÑA,21,NEGRO,48
314,SUELA ELSA PEQUEÑA,22,NEGRO,87
315,SUELA ELSA PEQUEÑA,24,NEGRO,48
316,SUELA EMMA CON VIRA,36,BLANCO,27
317,SUELA EMMA CON VIRA,34,NEGRO,9
318,SUELA EMMA CON VIRA,35,NEGRO,41
319,SUELA EMMA CON VIRA,36,NEGRO,2
320,SUELA EMMA CON VIRA,37,NEGRO,34
321,SUELA EMMA CON VIRA,38,NEGRO,27
322,SUELA EMMA CON VIRA,39,NEGRO,24
323,SUELA EMMA CON VIRA,40,NEGRO,21
324,SUELA EMMA CON VIRA,34,KLIM,1
325,SUELA EMMA CON VIRA,35,KLIM,24
326,SUELA EMMA CON VIRA,36,KLIM,3
327,SUELA EMMA CON VIRA,37,KLIM,2
328,SUELA EMMA CON VIRA,39,KLIM,1
329,SUELA EMMA CON VIRA,34,CAFE,34
330,SUELA EMMA CON VIRA,36,CAFE,90
331,SUELA EMMA CON VIRA,37,CAFE,64
332,SUELA EMMA CON VIRA,38,CAFE,42
333,SUELA EMMA CON VIRA,39,CAFE,5
334,SUELA EMMA CON VIRA,40,CAFE,7
335,SUELA EMMA CON VIRA,36,VAINILLA,53
336,SUELA EMMA CON VIRA,37,VAINILLA,3
337,SUELA EMMA CON VIRA,38,VAINILLA,3
338,SUELA EMMA CON VIRA,40,VAINILLA,1
339,SUELA EMMA CON VIRA,34,CARTON,24
340,SUELA EMMA CON VIRA,35,CARTON,1
341,SUELA EMMA CON VIRA,36,CARTON,16
342,SUELA EMMA CON VIRA,37,CARTON,1
343,SUELA EMMA CON VIRA,39,CARTON,5
344,SUELA EMMA CON VIRA,40,CARTON,25
345,SUELA EPIC,34,BLANCO,27
346,SUELA EPIC,35,BLANCO,13
347,SUELA EPIC,36,BLANCO,22
348,SUELA EPIC,37,BLANCO,2
349,SUELA EPIC,38,BLANCO,8
350,SUELA EPIC,40,BLANCO,57
351,SUELA EPIC,41,BLANCO,15
352,SUELA EPIC,42,BLANCO,6
353,SUELA EPIC,34,NEGRO,8
354,SUELA EPIC,35,NEGRO,27
355,SUELA EPIC,36,NEGRO,28
356,SUELA EPIC,37,NEGRO,23
357,SUELA EPIC,38,NEGRO,16
358,SUELA EPIC,39,NEGRO,13
359,SUELA EPIC,40,NEGRO,12
360,SUELA EPIC,41,NEGRO,17
361,SUELA EPIC,42,NEGRO,14
362,SUELA FELICIANA,34,BLANCO,23
363,SUELA FELICIANA,35,BLANCO,48
364,SUELA FELICIANA,36,BLANCO,62
365,SUELA FELICIANA,37,BLANCO,16
366,SUELA FELICIANA,38,BLANCO,36
367,SUELA FELICIANA,39,BLANCO,66
368,SUELA FELICIANA,40,BLANCO,35
369,SUELA FELICIANA,36,NEGRO,36
370,SUELA FELICIANA,37,NEGRO,18
371,SUELA FELICIANA,34,KLIM,33
372,SUELA FELICIANA,35,KLIM,67
373,SUELA FELICIANA,36,KLIM,94
374,SUELA FELICIANA,37,KLIM,60
375,SUELA FELICIANA,38,KLIM,30
376,SUELA FELICIANA,39,KLIM,17
377,SUELA FELICIANA,40,KLIM,15
378,SUELA FENDY,37,BLANCO,18
379,SUELA FENDY,38,BLANCO,14
380,SUELA FENDY,39,BLANCO,68
381,SUELA FENDY,40,BLANCO,31
382,SUELA FENDY,41,BLANCO,91
383,SUELA FENDY,42,BLANCO,20
384,SUELA FENDY,39,NEGRO,26
385,SUELA FENDY,42,NEGRO,8
386,SUELA FENDY,37,VAINILLA,52
387,SUELA FENDY,38,VAINILLA,57
388,SUELA FENDY,39,VAINILLA,41
389,SUELA FENDY,40,VAINILLA,2
390,SUELA FENDY,41,VAINILLA,3
391,SUELA FENDY,39,CARTON,15
392,SUELA FLOWER DAMA,38,BLANCO,31
393,SUELA FLOWER DAMA,34,KLIM,49
394,SUELA FLOWER DAMA,35,KLIM,62
395,SUELA FLOWER DAMA,36,KLIM,108
396,SUELA FLOWER DAMA,37,KLIM,56
397,SUELA FLOWER DAMA,38,KLIM,124
398,SUELA FLOWER DAMA,39,KLIM,104
399,SUELA FLOWER DAMA,40,KLIM,49
400,SUELA FLOWER MEDIANA,29,NEGRO,4
401,SUELA FREE BINUMERO HOMBRE,3738,BLANCO,51
402,SUELA FREE BINUMERO HOMBRE,3940,BLANCO,20
403,SUELA FREE BINUMERO HOMBRE,4142,BLANCO,27
404,SUELA FREE BINUMERO HOMBRE,3738,NEGRO,19
405,SUELA FREE BINUMERO HOMBRE,3940,NEGRO,20
406,SUELA FREE BINUMERO HOMBRE,4142,NEGRO,122
407,SUELA FREE BINUMERO JUVENIL,3334,NEGRO,128
408,SUELA FREE BINUMERO JUVENIL,3536,NEGRO,33
409,SUELA GABANNA,34,BLANCO,31
410,SUELA GABANNA,35,BLANCO,2
411,SUELA GABANNA,36,BLANCO,6
412,SUELA GABANNA,38,BLANCO,13
413,SUELA GABANNA,39,BLANCO,8
414,SUELA GABANNA,40,BLANCO,9
415,SUELA GABANNA,35,NEGRO,42
416,SUELA GABANNA,36,NEGRO,41
417,SUELA GABANNA,37,NEGRO,30
418,SUELA GABANNA,38,NEGRO,34
419,SUELA GABANNA,39,NEGRO,52
420,SUELA GABANNA,40,NEGRO,63
421,SUELA GINA,35,BLANCO,30
422,SUELA GINA,36,BLANCO,81
423,SUELA GINA,37,BLANCO,63
424,SUELA GINA,38,BLANCO,8
425,SUELA GINA,39,BLANCO,50
426,SUELA GINA,40,BLANCO,16
427,SUELA GINA,34,NEGRO,13
428,SUELA GINA,35,NEGRO,2
429,SUELA GINA,38,NEGRO,5
430,SUELA GINA,39,NEGRO,4
431,SUELA GINA,40,NEGRO,2
432,SUELA GINA,34,KLIM,196
433,SUELA GINA,35,KLIM,67
434,SUELA GINA,36,KLIM,18
435,SUELA GINA,37,KLIM,4
436,SUELA GINA,38,KLIM,5
437,SUELA GINA,39,KLIM,86
438,SUELA GINA,40,KLIM,19
439,SUELA HUNGRY GRANDE,36,BLANCO,11
440,SUELA HUNGRY GRANDE,39,BLANCO,97
441,SUELA HUNGRY GRANDE,40,BLANCO,74
442,SUELA HUNGRY GRANDE,42,BLANCO,81
443,SUELA HUNGRY GRANDE,44,BLANCO,42
444,SUELA HUNGRY GRANDE,38,NEGRO,3
445,SUELA HUNGRY GRANDE,40,NEGRO,5
446,SUELA HUNGRY GRANDE,44,NEGRO,1
447,SUELA IRIS,34,CREPE,64
448,SUELA IRIS,36,CREPE,1
449,SUELA IRIS,38,CREPE,8
450,SUELA IRIS,39,CREPE,35
451,SUELA IRIS,40,CREPE,15
452,SUELA KARLA,35,NEGRO,4
453,SUELA KARLA,36,NEGRO,7
454,SUELA KARLA,34,KLIM,26
455,SUELA KARLA,36,KLIM,43
456,SUELA KARLA,38,KLIM,15
457,SUELA KARLA,39,KLIM,20
458,SUELA KARLA,40,KLIM,40
459,SUELA KARLA,34,VAINILLA,19
460,SUELA KAROL G,34,BLANCO,6
461,SUELA KAROL G,35,BLANCO,2
462,SUELA KAROL G,36,BLANCO,1
463,SUELA KAROL G,37,BLANCO,11
464,SUELA KAROL G,40,BLANCO,23
465,SUELA KAROL G,34,NEGRO,67
466,SUELA KAROL G,35,NEGRO,4
467,SUELA KAROL G,37,NEGRO,3
468,SUELA KAROL G,38,NEGRO,30
469,SUELA KAROL G,39,NEGRO,7
470,SUELA KAROL G,34,KLIM,2
471,SUELA KAROL G,35,KLIM,1
472,SUELA KAROL G,36,KLIM,2
473,SUELA KAROL G,38,KLIM,2
474,SUELA KAROL G,40,KLIM,1
475,SUELA KATAR GRANDE,34,BLANCO,47
476,SUELA KATAR GRANDE,35,BLANCO,36
477,SUELA KATAR GRANDE,36,BLANCO,45
478,SUELA KATAR GRANDE,37,BLANCO,29
479,SUELA KATAR GRANDE,38,BLANCO,1
480,SUELA KATAR GRANDE,39,BLANCO,12
481,SUELA KIKYS,27,CREPE,12
482,SUELA KIKYS,28,CREPE,15
483,SUELA KIKYS,29,CREPE,9
484,SUELA KIKYS,30,CREPE,9
485,SUELA KOAJ GRANDE,39,BLANCO,18
486,SUELA KOAJ GRANDE,39,NEGRO,11
487,SUELA KOAJ GRANDE,39,VAINILLA,61
488,SUELA KROSS DAMA,34,BLANCO,10
489,SUELA KROSS DAMA,35,BLANCO,36
490,SUELA KROSS DAMA,36,BLANCO,74
491,SUELA KROSS DAMA,37,BLANCO,20
492,SUELA KROSS DAMA,38,BLANCO,21
493,SUELA KROSS DAMA,39,BLANCO,54
494,SUELA KROSS DAMA,40,BLANCO,31
